map,killer,escapes,escape,perk1,perk2,perk3,perk4,item,addon1,addon2,offering,pips,swf
Father Campbell's Chapel,Executioner,4,Y,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Emergency Med-Kit (R),,,Escape! Cake (U),1,Y
The Game,Cannibal,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Emergency Med-Kit (R),,,Escape! Cake (U),-1,Y
Badham Preschool V,Nemesis,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Engineer's Toolbox (V),Wire Spool (U),Socket Swivels (U),Escape! Cake (U),0,Y
Treatment Theatre,Blight,3,Y,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Ranger Med-Kit (V),Gel Dressings (R),Surgical Suture (R),Escape! Cake (U),1,N
Lampkin Lane,Hag,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Camping Aid Kit (C),Gel Dressings (R),Gauze Roll (U),Shroud of Binding (V),-1,N
Wretched Shop,Nightmare,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Camping Aid Kit (C),Gel Dressings (R),Gauze Roll (U),Sealed Envelope (U),0,N
Garden of Joy,Spirit,0,N,Object of Obsession (V),Resilience (V),Lithe (V),Windows of Opportunity (V),Camping Aid Kit (C),Gel Dressings (R),Surgical Suture (R),Bound Envelope (R),-1,N
Suffocation Pit,Twins,2,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Camping Aid Kit (C),Gel Dressings (R),Gauze Roll (U),Fragrant Primrose Blossom (R),1,N
Wretched Shop,Nemesis,0,N,Lucky Break (V),Borrowed Time (V),We're Gonna Live Forever (V),Bond (V),Camping Aid Kit (C),Gel Dressings (R),Gauze Roll (U),Bound Envelope (R),-1,N
Eyrie of Crows,Cenobite,0,N,Balanced Landing (V),Borrowed Time (V),We're Gonna Live Forever (V),Bond (V),Camping Aid Kit (C),Gel Dressings (R),Gauze Roll (U),,0,N
The Temple of Purgation,Trickster,1,N,Balanced Landing (V),Borrowed Time (V),We're Gonna Live Forever (V),Saboteur (V),Camping Aid Kit (C),Gel Dressings (R),Gauze Roll (U),Sealed Envelope (U),0,N
Blood Lodge,Ghostface,4,Y,Open-Handed (V),Bond (V),Kindred (V),Borrowed Time (V),Camping Aid Kit (C),Gel Dressings (R),Surgical Suture (R),Fragrant Bog Laurel (R),0,N
Dead Dawg Saloon,Legion,1,Y,Open-Handed (V),Bond (V),Kindred (V),Borrowed Time (V),Camping Aid Kit (C),Gel Dressings (R),Surgical Suture (R),Fragrant Bog Laurel (R),0,N
Grim Pantry,Wraith,0,N,Open-Handed (V),Bond (V),Kindred (V),Borrowed Time (V),Camping Aid Kit (C),Gel Dressings (R),Surgical Suture (R),Fragrant Bog Laurel (R),1,N
Family Residence,Blight,4,Y,Balanced Landing (V),Borrowed Time (V),We're Gonna Live Forever (V),Decisive Strike (V),Camping Aid Kit (C),Gel Dressings (R),Surgical Suture (R),Sealed Envelope (U),1,N
Father Campbell's Chapel,Legion,3,Y,Balanced Landing (V),Borrowed Time (V),We're Gonna Live Forever (V),Saboteur (V),Camping Aid Kit (C),Gel Dressings (R),Surgical Suture (R),Sealed Envelope (U),1,N
Garden of Joy,Onryo,0,N,Balanced Landing (V),Borrowed Time (V),We're Gonna Live Forever (V),Saboteur (V),Camping Aid Kit (C),Self Adherent Wrap (U),Surgical Suture (R),Sealed Envelope (U),0,N
Badham Preschool I,Nurse,3,Y,Balanced Landing (V),Borrowed Time (V),We're Gonna Live Forever (V),Saboteur (V),Camping Aid Kit (C),Self Adherent Wrap (U),Surgical Suture (R),Sealed Envelope (U),1,N
Mount Ormond Resort,Nurse,1,N,Open-Handed (V),Bond (V),Kindred (V),Borrowed Time (V),Camping Aid Kit (C),Self Adherent Wrap (U),Surgical Suture (R),Petrified Oak (V),1,N
The Thompson House,Blight,0,N,Lithe (V),Borrowed Time (V),No One Left Behind (V),Hope (V),Camping Aid Kit (C),Self Adherent Wrap (U),Surgical Suture (R),Petrified Oak (V),1,N
Dead Dawg Saloon,Ghostface,4,Y,Open-Handed (V),Bond (V),Kindred (V),Lightweight (V),Camping Aid Kit (C),Self Adherent Wrap (U),Surgical Suture (R),Petrified Oak (V),1,N
Eyrie of Crows,Spirit,0,N,Open-Handed (V),Bond (V),Kindred (V),Lightweight (V),Camping Aid Kit (C),Self Adherent Wrap (U),Surgical Suture (R),Petrified Oak (V),0,N
Shelter Woods,Shape,1,N,Lithe (V),Small Game (V),Prove Thyself (V),Sole Survivor (V),Camping Aid Kit (C),Medical Scissors (U),Surgical Suture (R),Petrified Oak (V),0,N
Raccoon City Police Station,Oni,3,Y,Lithe (V),Small Game (V),Prove Thyself (V),Sole Survivor (V),Emergency Med-Kit (R),Bandages (C),Medical Scissors (U),Escape! Cake (U),1,N
Midwich Elementary School,Trickster,0,N,Lithe (V),Distortion (V),Prove Thyself (V),Sole Survivor (V),Flashlight (U),,,Escape! Cake (U),1,N
Suffocation Pit,Deathslinger,0,N,Object of Obsession (V),Resilience (V),Lithe (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fragrant Sweet William (R),1,N
Lampkin Lane,Legion,2,Y,Lithe (V),Decisive Strike (V),Hope (V),Sole Survivor (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fragrant Sweet William (R),2,N
Wretched Shop,Doctor,0,N,Lithe (V),Decisive Strike (V),Hope (V),Resilience (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fragrant Sweet William (R),0,N
Garden of Joy,Onryo,0,N,Lithe (V),Decisive Strike (V),Kindred (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fragrant Sweet William (R),1,N
Grim Pantry,Legion,2,Y,Lithe (V),Decisive Strike (V),Kindred (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fragrant Sweet William (R),2,N
Lampkin Lane,Cenobite,4,Y,Lithe (V),Decisive Strike (V),Kindred (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fragrant Sweet William (R),0,N
Lampkin Lane,Nurse,1,Y,Lithe (V),Decisive Strike (V),Kindred (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fragrant Crispleaf Amaranth (R),1,N
Rancid Abattoir,Executioner,0,N,Lithe (V),Decisive Strike (V),Kindred (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fragrant Crispleaf Amaranth (R),0,N
Ironworks of Misery,Clown,0,N,Lithe (V),Decisive Strike (V),Kindred (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fragrant Crispleaf Amaranth (R),0,N
Dead Dawg Saloon,Blight,0,N,Lithe (V),Decisive Strike (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Med-Kit (E),Medical Scissors (U),Bandages (C),Petrified Oak (V),1,Y
Treatment Theatre,Clown,0,N,Lithe (V),Decisive Strike (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Med-Kit (E),Medical Scissors (U),Bandages (C),Petrified Oak (V),0,Y
Disturbed Ward,Spirit,0,N,Lithe (V),Decisive Strike (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Sacrificial Ward (R),0,N
Family Residence,Executioner,4,Y,Lithe (V),Decisive Strike (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Sacrificial Ward (R),1,N
Blood Lodge,Executioner,2,Y,Lithe (V),Decisive Strike (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Med-Kit (E),Bandages (C),Needle & Thread (U),Sacrificial Ward (R),2,Y
Disturbed Ward,Huntress,0,N,Lithe (V),Decisive Strike (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Med-Kit (E),Bandages (C),Needle & Thread (U),Sacrificial Ward (R),0,Y
Grim Pantry,Blight,2,Y,Lithe (V),Decisive Strike (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Med-Kit (E),Bandages (C),Needle & Thread (U),Sacrificial Ward (R),2,Y
Garden of Joy,Legion,3,Y,Lithe (V),Decisive Strike (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Needle & Thread (U),Fragrant Primrose Blossom (R),1,N
Sanctum of Wrath,Blight,3,Y,Lithe (V),Decisive Strike (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Needle & Thread (U),,1,N
Disturbed Ward,Artist,3,Y,Lithe (V),Decisive Strike (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Needle & Thread (U),,1,N
Dead Dawg Saloon,Huntress,4,Y,Lithe (V),Repressed Alliance (U),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Needle & Thread (U),,1,N
The Game,Shape,0,N,Lithe (V),Repressed Alliance (U),Prove Thyself (V),Windows of Opportunity (V),Ranger Med-Kit (V),Gauze Roll (U),Needle & Thread (U),Fresh Primrose Blossom (U),0,N
Dead Dawg Saloon,Legion,3,Y,Lithe (V),Bond (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Fresh Bog Laurel (U),1,N
Ironworks of Misery,Wraith,3,Y,Lithe (V),Hope (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Fresh Bog Laurel (U),2,N
Father Campbell's Chapel,Blight,4,Y,Lithe (V),Resilience (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Fresh Bog Laurel (U),1,N
The Thompson House,Shape,2,Y,Lithe (V),Resilience (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Fresh Bog Laurel (U),1,N
The Pale Rose,Huntress,1,N,Lithe (V),Resilience (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Fresh Bog Laurel (U),1,N
Treatment Theatre,Executioner,0,N,Lithe (V),Resilience (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Shroud of Union (U),0,N
The Game,Oni,1,Y,Lithe (V),Lightweight (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Shroud of Union (U),1,N
Sanctum of Wrath,Dredge,1,N,Lithe (V),Lightweight (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Shroud of Union (U),0,N
Garden of Joy,Huntress,4,Y,Lithe (V),Saboteur (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Shroud of Union (U),0,N
Grim Pantry,Trapper,0,N,Lithe (V),Saboteur (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Shroud of Union (U),1,N
Disturbed Ward,Artist,3,N,Lithe (V),Repressed Alliance (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fresh Bog Laurel (U),1,N
Coal Tower,Nemesis,0,N,Lithe (V),Lightweight (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fresh Bog Laurel (U),0,N
Suffocation Pit,Shape,-1,N,Object of Obsession (V),Resilience (V),Lithe (V),Windows of Opportunity (V),Flashlight (U),,,,0,N
Disturbed Ward,Hag,1,Y,Lithe (V),Repressed Alliance (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),,Butterfly Tape (C),Escape! Cake (U),0,N
Coal Tower,Huntress,0,N,Lithe (V),Resilience (V),Prove Thyself (V),Windows of Opportunity (V),Emergency Med-Kit (R),Gauze Roll (U),Surgical Suture (R),Escape! Cake (U),1,N
Treatment Theatre,Oni,3,N,Lithe (V),Lightweight (V),Prove Thyself (V),Windows of Opportunity (V),Emergency Med-Kit (R),Gauze Roll (U),Surgical Suture (R),Escape! Cake (U),0,N
Treatment Theatre,Trickster,1,Y,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),First Aid Kit (U),Needle & Thread (U),Bandages (C),Fresh Crispleaf Amaranth (U),1,N
Rotten Fields,Nemesis,0,N,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),,,Fresh Bog Laurel (U),0,N
The Pale Rose,Artist,0,N,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),,,,0,N
Mount Ormond Resort,Nightmare,3,Y,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),,,,1,N
Fractured Cowshed,Executioner,4,Y,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),,,,1,N
Wretched Shop,Plague,0,N,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),,,,-1,N
Father Campbell's Chapel,Legion,0,N,Lithe (V),Resilience (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Petrified Oak (V),-1,Y
Shelter Woods,Legion,4,Y,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Petrified Oak (V),2,Y
Dead Dawg Saloon,Doctor,1,N,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Petrified Oak (V),1,Y
Garden of Joy,Spirit,3,Y,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Clean Rag (C),Socket Swivels (U),Vigo's Shroud (U),0,N
Badham Preschool II,Trickster,4,Y,Lithe (V),Lucky Break (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Clean Rag (C),Socket Swivels (U),Vigo's Shroud (U),1,N
Sanctum of Wrath,Blight,2,Y,Lithe (V),Lucky Break (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Clean Rag (C),Socket Swivels (U),Vigo's Shroud (U),1,N
Mount Ormond Resort,Nurse,1,N,Lithe (V),Lucky Break (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Clean Rag (C),Socket Swivels (U),Vigo's Shroud (U),1,N
Treatment Theatre,Nemesis,3,Y,Lithe (V),Lucky Break (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Clean Rag (C),Socket Swivels (U),Vigo's Shroud (U),1,N
Suffocation Pit,Clown,0,N,Lithe (V),Lucky Break (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Clean Rag (C),Scraps (C),Vigo's Shroud (U),0,N
Dead Dawg Saloon,Ghostface,1,N,Lithe (V),Lucky Break (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Clean Rag (C),Scraps (C),Vigo's Shroud (U),0,N
The Pale Rose,Doctor,0,N,Lithe (V),Lucky Break (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Clean Rag (C),Scraps (C),Vigo's Shroud (U),1,N
Dead Dawg Saloon,Trapper,1,N,Object of Obsession (V),Resilience (V),Lightweight (V),Windows of Opportunity (V),Flashlight (U),,,,1,N
The Thompson House,Wraith,?,N,Dead Hard (V),Resilience (V),Lightweight (V),Windows of Opportunity (V),Flashlight (U),,,,1,N
Midwich Elementary School,Ghostface,0,N,Dead Hard (V),Resilience (V),Lightweight (V),Windows of Opportunity (V),Sport Flashlight (R),Heavy Duty Battery (R),Long-Life Battery (U),,0,N
Treatment Theatre,Spirit,3,N,Lithe (V),Lucky Break (V),Prove Thyself (V),Windows of Opportunity (V),Commodious Toolbox (R),Clean Rag (C),Scraps (C),Vigo's Shroud (U),1,N
The Thompson House,Shape,4,Y,Lithe (V),Resilience (V),Prove Thyself (V),Windows of Opportunity (V),First Aid Kit (U),,,Vigo's Shroud (U),1,N
Midwich Elementary School,Huntress,?,N,Lithe (V),Resilience (V),Prove Thyself (V),Windows of Opportunity (V),First Aid Kit (U),,,Vigo's Shroud (U),-1,N
Shelter Woods,Nightmare,4,Y,Lithe (V),Deja Vu (V),Prove Thyself (V),Windows of Opportunity (V),First Aid Kit (U),,,Vigo's Shroud (U),1,N
Eyrie of Crows,Huntress,0,N,Lithe (V),Inner Healing (V),Prove Thyself (V),Windows of Opportunity (V),First Aid Kit (U),,,Fresh Crispleaf Amaranth (U),1,N
Fractured Cowshed,Legion,1,N,Lithe (V),Aftercare (V),Prove Thyself (V),Windows of Opportunity (V),First Aid Kit (U),,,Fresh Crispleaf Amaranth (U),1,N
The Game,Nemesis,0,N,Lithe (V),Aftercare (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),,Fresh Primrose Blossom (U),0,N
Dead Dawg Saloon,Cannibal,3,Y,Lithe (V),Resilience (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Vigo's Jar of Salty Lips (V),1,Y
Raccoon City Police Station,Nemesis,0,N,Lithe (V),Boon: Exponential (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Vigo's Jar of Salty Lips (V),-1,Y
The Game,Nightmare,1,N,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Vigo's Jar of Salty Lips (V),0,Y
Rancid Abattoir,Nemesis,4,Y,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),,Vigo's Jar of Salty Lips (V),1,Y
Coal Tower,Dredge,0,N,Lithe (V),Saboteur (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),,Fresh Sweet Wiliam (U),1,N
Eyrie of Crows,Artist,4,Y,Lithe (V),Saboteur (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),,Fresh Sweet Wiliam (U),1,N
Azarov's Resting Place,Wraith,0,N,Lithe (V),Saboteur (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),,Fresh Sweet Wiliam (U),0,N
Fractured Cowshed,Nurse,3,Y,Lithe (V),Saboteur (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),,Fresh Sweet Wiliam (U),1,N
Family Residence,Legion,0,N,Lithe (V),Repressed Alliance (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),,Fresh Sweet Wiliam (U),1,N
Lampkin Lane,Dredge,0,N,Balanced Landing (V),Resilience (V),Lightweight (V),Windows of Opportunity (V),,,,Bloody Party Streamers (R),1,N
Eyrie of Crows,Dredge,1,N,Open-Handed (V),Bond (V),Kindred (V),Prove Thyself (V),Camping Aid Kit (C),,Surgical Suture (R),,1,N
Family Residence,Huntress,1,Y,Lithe (V),Breakdown (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),,Fresh Sweet Wiliam (U),2,N
Mount Ormond Resort,Hillbilly,0,N,Lithe (V),Breakdown (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),Wire Spool (U),Fresh Crispleaf Amaranth (U),0,N
Badham Preschool I,Nemesis,0,N,Lithe (V),Breakdown (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),Clean Rag (C),Fresh Crispleaf Amaranth (U),1,N
Gas Heaven,Doctor,-1,DC,Open-Handed (V),Bond (V),Kindred (V),Repressed Alliance (V),Camping Aid Kit (C),,,,1,N
Mother's Dwelling,Pig,0,N,Lithe (V),Aftercare (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),Clean Rag (C),Fresh Crispleaf Amaranth (U),1,N
Eyrie of Crows,Huntress,1,Y,Lithe (V),Aftercare (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),Clean Rag (C),Fresh Crispleaf Amaranth (U),1,N
Father Campbell's Chapel,Wraith,1,N,Lithe (V),Aftercare (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Scraps (C),Clean Rag (C),Fresh Crispleaf Amaranth (U),1,N
Family Residence,Doctor,2,Y,Lithe (V),Aftercare (V),Prove Thyself (V),Windows of Opportunity (V),Emergency Med-Kit (R),Bandages (C),,Fresh Crispleaf Amaranth (U),1,N
Badham Preschool III,Huntress,2,Y,Lithe (V),Aftercare (V),Prove Thyself (V),Windows of Opportunity (V),Emergency Med-Kit (R),,,Fresh Crispleaf Amaranth (U),1,N
Shelter Woods,Shape,2,N,Lithe (V),Aftercare (V),Prove Thyself (V),Windows of Opportunity (V),Emergency Med-Kit (R),,,Fresh Crispleaf Amaranth (U),0,N
The Game,Doctor,1,N,Lithe (V),Aftercare (V),Prove Thyself (V),Windows of Opportunity (V),First Aid Kit (U),,,Fresh Crispleaf Amaranth (U),1,N
Treatment Theatre,Shape,1,Y,Lithe (V),Wake Up! (V),Prove Thyself (V),Windows of Opportunity (V),First Aid Kit (U),,,Fresh Crispleaf Amaranth (U),1,N
The Pale Rose,Ghostface,1,Y,Lithe (V),Wake Up! (V),Prove Thyself (V),Windows of Opportunity (V),First Aid Kit (U),,,Fresh Crispleaf Amaranth (U),2,N
Father Campbell's Chapel,Legion,3,Y,Lithe (V),Wake Up! (V),Prove Thyself (V),Windows of Opportunity (V),First Aid Kit (U),,,Fresh Crispleaf Amaranth (U),2,N
Dead Dawg Saloon,Doctor,0,N,Lithe (V),Wake Up! (V),Prove Thyself (V),Windows of Opportunity (V),First Aid Kit (U),,,Fresh Crispleaf Amaranth (U),-1,N
Blood Lodge,Artist,0,N,Lithe (V),Wake Up! (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),,,Fresh Crispleaf Amaranth (U),1,N
Wretched Shop,Ghostface,0,N,Lithe (V),Deliverance (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),,,Fresh Crispleaf Amaranth (U),0,N
Disturbed Ward,Trapper,4,Y,Lithe (V),Deliverance (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),,,Fragrant Primrose Blossom (R),1,N
Lampkin Lane,Legion,0,N,Lithe (V),Deliverance (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),,,,0,N
Mount Ormond Resort,Clown,4,Y,Distortion (V),Wake Up! (V),Lithe (V),Inner Healing (V),Worn-Out Tools (C),,,,1,N
Fractured Cowshed,Onryo,3,N,Distortion (V),Wake Up! (V),Lithe (V),Inner Healing (V),Worn-Out Tools (C),,,,0,N
Mount Ormond Resort,Nurse,0,N,Distortion (V),Wake Up! (V),Lithe (V),Inner Healing (V),Worn-Out Tools (C),,,,0,N
The Temple of Purgation,Huntress,0,N,Distortion (V),Wake Up! (V),Lithe (V),Inner Healing (V),Worn-Out Tools (C),,,,0,N
Mother's Dwelling,Trapper,0,N,Distortion (V),Wake Up! (V),Lithe (V),Deliverance (V),Toolbox (U),,,Escape! Cake (U),-1,N
Garden of Joy,Blight,1,N,Distortion (V),Wake Up! (V),Lithe (V),Deliverance (V),Toolbox (U),,,Fresh Sweet Wiliam (U),0,N
Sanctum of Wrath,Shape,0,N,Distortion (V),Wake Up! (V),Lithe (V),Deliverance (V),Toolbox (U),,,Fresh Sweet Wiliam (U),1,N
Raccoon City Police Station,Huntress,0,N,Distortion (V),Wake Up! (V),Lithe (V),Deliverance (V),Toolbox (U),,,Fresh Sweet Wiliam (U),-1,N
Ironworks of Misery,Ghostface,0,N,Lithe (V),Distortion (V),Prove Thyself (V),Windows of Opportunity (V),Camping Aid Kit (C),,,,,N
Raccoon City Police Station,Nurse,4,Y,Lithe (V),Deliverance (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Brand New Part (L),Scraps (C),RPD Badge (R),1,Y
Raccoon City Police Station,Executioner,4,Y,Lithe (V),Deliverance (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Brand New Part (L),Scraps (C),RPD Badge (R),0,Y
Raccoon City Police Station,Nurse,3,Y,Lithe (V),Deliverance (V),Prove Thyself (V),Windows of Opportunity (V),Toolbox (U),Brand New Part (L),Scraps (C),RPD Badge (R),1,Y
Raccoon City Police Station,Nightmare,0,N,Lithe (V),Deliverance (V),Prove Thyself (V),Windows of Opportunity (V),Masquerade Toolkit (E),Brand New Part (L),Swivel Sockets (U),RPD Badge (R),0,Y
The Pale Rose,Mastermind,3,Y,Lithe (V),Deliverance (V),Prove Thyself (V),Reassurance (V),Emergency Med-Kit (R),Gel Dressings (R),,Fresh Primrose Blossom (U),0,N
